bridge,count_fhrp_groups,count_ipaddresses,created,custom_fields,description,display,display_url,enabled,id,l2vpn_termination,last_updated,mac_address,mac_addresses,mode,mtu,name,owner,parent,primary_mac_address,qinq_svlan,tagged_vlans,tags,untagged_vlan,url,virtual_machine,vlan_translation_policy,vrf
,0,0,2026-03-01T05:36:37.138998Z,{},,eth0,http://192.168.65.40:8000/virtualization/interfaces/1/,True,1,,2026-03-01T05:36:37.139018Z,,[],,,eth0,,,,,[],[],,http://192.168.65.40:8000/api/virtualization/interfaces/1/,"{""description"": """", ""display"": ""vm1"", ""id"": 1, ""name"": ""vm1"", ""url"": ""http://192.168.65.40:8000/api/virtualization/virtual-machines/1/""}",,
,0,0,2026-03-01T05:36:37.217048Z,{},,eth1,http://192.168.65.40:8000/virtualization/interfaces/2/,True,2,,2026-03-01T05:36:37.217068Z,,[],,,eth1,,,,,[],[],,http://192.168.65.40:8000/api/virtualization/interfaces/2/,"{""description"": """", ""display"": ""vm1"", ""id"": 1, ""name"": ""vm1"", ""url"": ""http://192.168.65.40:8000/api/virtualization/virtual-machines/1/""}",,
,0,0,2026-03-01T05:36:37.283742Z,{},,eth2,http://192.168.65.40:8000/virtualization/interfaces/3/,True,3,,2026-03-01T05:36:37.283761Z,,[],,,eth2,,,,,[],[],,http://192.168.65.40:8000/api/virtualization/interfaces/3/,"{""description"": """", ""display"": ""vm1"", ""id"": 1, ""name"": ""vm1"", ""url"": ""http://192.168.65.40:8000/api/virtualization/virtual-machines/1/""}",,
,0,0,2026-03-01T05:36:37.358035Z,{},,eth3,http://192.168.65.40:8000/virtualization/interfaces/4/,True,4,,2026-03-01T05:36:37.358054Z,,[],,,eth3,,,,,[],[],,http://192.168.65.40:8000/api/virtualization/interfaces/4/,"{""description"": """", ""display"": ""vm1"", ""id"": 1, ""name"": ""vm1"", ""url"": ""http://192.168.65.40:8000/api/virtualization/virtual-machines/1/""}",,
,0,0,2026-03-01T05:36:37.423593Z,{},,eth0,http://192.168.65.40:8000/virtualization/interfaces/5/,True,5,,2026-03-01T05:36:37.423614Z,,[],,,eth0,,,,,[],[],,http://192.168.65.40:8000/api/virtualization/interfaces/5/,"{""description"": """", ""display"": ""vm2"", ""id"": 2, ""name"": ""vm2"", ""url"": ""http://192.168.65.40:8000/api/virtualization/virtual-machines/2/""}",,
,0,0,2026-03-01T05:36:37.497322Z,{},,eth1,http://192.168.65.40:8000/virtualization/interfaces/6/,True,6,,2026-03-01T05:36:37.497342Z,,[],,,eth1,,,,,[],[],,http://192.168.65.40:8000/api/virtualization/interfaces/6/,"{""description"": """", ""display"": ""vm2"", ""id"": 2, ""name"": ""vm2"", ""url"": ""http://192.168.65.40:8000/api/virtualization/virtual-machines/2/""}",,
,0,0,2026-03-01T05:36:37.589373Z,{},,eth2,http://192.168.65.40:8000/virtualization/interfaces/7/,True,7,,2026-03-01T05:36:37.589391Z,,[],,,eth2,,,,,[],[],,http://192.168.65.40:8000/api/virtualization/interfaces/7/,"{""description"": """", ""display"": ""vm2"", ""id"": 2, ""name"": ""vm2"", ""url"": ""http://192.168.65.40:8000/api/virtualization/virtual-machines/2/""}",,
,0,0,2026-03-01T05:36:37.658342Z,{},,eth3,http://192.168.65.40:8000/virtualization/interfaces/8/,True,8,,2026-03-01T05:36:37.658361Z,,[],,,eth3,,,,,[],[],,http://192.168.65.40:8000/api/virtualization/interfaces/8/,"{""description"": """", ""display"": ""vm2"", ""id"": 2, ""name"": ""vm2"", ""url"": ""http://192.168.65.40:8000/api/virtualization/virtual-machines/2/""}",,
,0,0,2026-03-01T05:36:37.727920Z,{},,eth0,http://192.168.65.40:8000/virtualization/interfaces/9/,True,9,,2026-03-01T05:36:37.727939Z,,[],,,eth0,,,,,[],[],,http://192.168.65.40:8000/api/virtualization/interfaces/9/,"{""description"": """", ""display"": ""vm3"", ""id"": 3, ""name"": ""vm3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/virtual-machines/3/""}",,
,0,0,2026-03-01T05:36:37.792621Z,{},,eth1,http://192.168.65.40:8000/virtualization/interfaces/10/,True,10,,2026-03-01T05:36:37.792640Z,,[],,,eth1,,,,,[],[],,http://192.168.65.40:8000/api/virtualization/interfaces/10/,"{""description"": """", ""display"": ""vm3"", ""id"": 3, ""name"": ""vm3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/virtual-machines/3/""}",,
,0,0,2026-03-01T05:36:37.857294Z,{},,eth2,http://192.168.65.40:8000/virtualization/interfaces/11/,True,11,,2026-03-01T05:36:37.857312Z,,[],,,eth2,,,,,[],[],,http://192.168.65.40:8000/api/virtualization/interfaces/11/,"{""description"": """", ""display"": ""vm3"", ""id"": 3, ""name"": ""vm3"", ""url"": ""http://192.168.65.40:8000/api/virtualization/virtual-machines/3/""}",,
