_occupied,bridge,cable_end,connected_endpoints_reachable,connected_endpoints_type,count_fhrp_groups,count_ipaddresses,created,description,display,display_url,duplex,enabled,id,l2vpn_termination,label,lag,last_updated,link_peers_type,mac_address,mark_connected,mgmt_only,mode,mtu,name,owner,parent,poe_mode,poe_type,primary_mac_address,qinq_svlan,rf_channel,rf_channel_frequency,rf_channel_width,rf_role,speed,tx_power,untagged_vlan,url,vlan_translation_policy,vrf,wireless_link,wwn
True,,B,True,circuits.providernetwork,0,0,2026-03-01T04:57:27.236415Z,,GigabitEthernet0/0/0,http://192.168.65.40:8000/dcim/interfaces/1/,,True,1,,,,2026-03-01T05:38:49.561208Z,circuits.circuittermination,,False,False,,,GigabitEthernet0/0/0,,,,,,,,,,,,,,http://192.168.65.40:8000/api/dcim/interfaces/1/,,,,
True,,B,False,,0,0,2026-03-01T04:57:27.338009Z,,GigabitEthernet0/0/1,http://192.168.65.40:8000/dcim/interfaces/2/,,True,2,,,,2026-03-01T05:38:52.505455Z,circuits.circuittermination,,False,False,,,GigabitEthernet0/0/1,,,,,,,,,,,,,,http://192.168.65.40:8000/api/dcim/interfaces/2/,,,,
False,,,,,0,0,2026-03-01T05:11:10.670481Z,,GigabitEthernet0/1/0,http://192.168.65.40:8000/dcim/interfaces/1407/,,True,1407,,,,2026-03-01T05:11:10.670500Z,,,False,False,,,GigabitEthernet0/1/0,,,,,,,,,,,,,,http://192.168.65.40:8000/api/dcim/interfaces/1407/,,,,
False,,,,,0,0,2026-03-01T05:11:10.779066Z,,GigabitEthernet0/1/1,http://192.168.65.40:8000/dcim/interfaces/1408/,,True,1408,,,,2026-03-01T05:11:10.779085Z,,,False,False,,,GigabitEthernet0/1/1,,,,,,,,,,,,,,http://192.168.65.40:8000/api/dcim/interfaces/1408/,,,,
True,,A,True,dcim.interface,0,0,2026-03-01T04:57:27.473642Z,,GigabitEthernet0/1/2,http://192.168.65.40:8000/dcim/interfaces/3/,,True,3,,,,2026-03-01T05:11:10.991213Z,dcim.interface,,False,False,,,GigabitEthernet0/1/2,,,,,,,,,,,,,,http://192.168.65.40:8000/api/dcim/interfaces/3/,,,,
True,,A,True,dcim.interface,0,0,2026-03-01T04:57:27.576558Z,,GigabitEthernet0/1/3,http://192.168.65.40:8000/dcim/interfaces/4/,,True,4,,,,2026-03-01T05:11:11.261155Z,dcim.interface,,False,False,,,GigabitEthernet0/1/3,,,,,,,,,,,,,,http://192.168.65.40:8000/api/dcim/interfaces/4/,,,,
False,,,,,0,0,2026-03-01T04:57:27.660840Z,,GigabitEthernet0/1/4,http://192.168.65.40:8000/dcim/interfaces/5/,,True,5,,,,2026-03-01T05:11:11.505444Z,,,False,False,,,GigabitEthernet0/1/4,,,,,,,,,,,,,,http://192.168.65.40:8000/api/dcim/interfaces/5/,,,,
False,,,,,0,0,2026-03-01T04:57:27.745212Z,,GigabitEthernet0/1/5,http://192.168.65.40:8000/dcim/interfaces/6/,,True,6,,,,2026-03-01T05:11:11.803066Z,,,False,False,,,GigabitEthernet0/1/5,,,,,,,,,,,,,,http://192.168.65.40:8000/api/dcim/interfaces/6/,,,,
False,,,,,0,0,2026-03-01T04:57:27.837644Z,,GigabitEthernet0/1/6,http://192.168.65.40:8000/dcim/interfaces/7/,,True,7,,,,2026-03-01T05:11:12.133718Z,,,False,False,,,GigabitEthernet0/1/6,,,,,,,,,,,,,,http://192.168.65.40:8000/api/dcim/interfaces/7/,,,,
False,,,,,0,0,2026-03-01T04:57:27.925707Z,,GigabitEthernet0/1/7,http://192.168.65.40:8000/dcim/interfaces/8/,,True,8,,,,2026-03-01T05:11:12.645275Z,,,False,False,,,GigabitEthernet0/1/7,,,,,,,,,,,,,,http://192.168.65.40:8000/api/dcim/interfaces/8/,,,,
