created,custom_fields,description,device,display,display_url,id,installed_module,label,last_updated,module,name,owner,position,tags,url
2026-03-01T04:57:25.657650Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 2,http://192.168.65.40:8000/dcim/module-bays/1/,1,,,2026-03-01T05:11:04.673337Z,,Slot 2,,2,[],http://192.168.65.40:8000/api/dcim/module-bays/1/
2026-03-01T04:57:25.730765Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 3,http://192.168.65.40:8000/dcim/module-bays/2/,2,,,2026-03-01T05:11:04.877151Z,,Slot 3,,3,[],http://192.168.65.40:8000/api/dcim/module-bays/2/
2026-03-01T04:57:25.791969Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 4,http://192.168.65.40:8000/dcim/module-bays/3/,3,,,2026-03-01T05:11:05.647571Z,,Slot 4,,4,[],http://192.168.65.40:8000/api/dcim/module-bays/3/
2026-03-01T04:57:25.845973Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 5,http://192.168.65.40:8000/dcim/module-bays/4/,4,,,2026-03-01T05:11:05.945784Z,,Slot 5,,5,[],http://192.168.65.40:8000/api/dcim/module-bays/4/
2026-03-01T04:57:25.900420Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 6,http://192.168.65.40:8000/dcim/module-bays/5/,5,,,2026-03-01T05:11:06.072698Z,,Slot 6,,6,[],http://192.168.65.40:8000/api/dcim/module-bays/5/
2026-03-01T04:57:25.958844Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 7,http://192.168.65.40:8000/dcim/module-bays/6/,6,,,2026-03-01T05:11:06.250945Z,,Slot 7,,7,[],http://192.168.65.40:8000/api/dcim/module-bays/6/
2026-03-01T04:57:26.029189Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 8,http://192.168.65.40:8000/dcim/module-bays/7/,7,,,2026-03-01T05:11:06.486427Z,,Slot 8,,8,[],http://192.168.65.40:8000/api/dcim/module-bays/7/
2026-03-01T04:57:26.112311Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 9,http://192.168.65.40:8000/dcim/module-bays/8/,8,,,2026-03-01T05:11:06.608867Z,,Slot 9,,9,[],http://192.168.65.40:8000/api/dcim/module-bays/8/
2026-03-01T04:57:26.170194Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 10,http://192.168.65.40:8000/dcim/module-bays/9/,9,,,2026-03-01T05:11:06.712984Z,,Slot 10,,10,[],http://192.168.65.40:8000/api/dcim/module-bays/9/
2026-03-01T04:57:26.231554Z,{},,"{""description"": """", ""display"": ""ncsu-coreswitch1"", ""id"": 40, ""name"": ""ncsu-coreswitch1"", ""url"": ""http://192.168.65.40:8000/api/dcim/devices/40/""}",Slot 11,http://192.168.65.40:8000/dcim/module-bays/10/,10,,,2026-03-01T05:11:06.833789Z,,Slot 11,,11,[],http://192.168.65.40:8000/api/dcim/module-bays/10/
