color,comments,created,description,display,display_url,id,label,last_updated,length,length_unit,owner,profile,tenant,type,url
ff5722,,2026-03-01T05:02:17.401873Z,,#1,http://192.168.65.40:8000/dcim/cables/1/,1,,2026-03-01T05:02:17.488167Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/1/
ff5722,,2026-03-01T05:02:17.682916Z,,#2,http://192.168.65.40:8000/dcim/cables/2/,2,,2026-03-01T05:02:17.778270Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/2/
ff5722,,2026-03-01T05:02:17.903210Z,,#3,http://192.168.65.40:8000/dcim/cables/3/,3,,2026-03-01T05:02:17.982167Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/3/
ff5722,,2026-03-01T05:02:18.127322Z,,#4,http://192.168.65.40:8000/dcim/cables/4/,4,,2026-03-01T05:02:18.216136Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/4/
ff5722,,2026-03-01T05:02:18.372723Z,,#5,http://192.168.65.40:8000/dcim/cables/5/,5,,2026-03-01T05:02:18.450717Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/5/
ff5722,,2026-03-01T05:02:18.703580Z,,#6,http://192.168.65.40:8000/dcim/cables/6/,6,,2026-03-01T05:02:18.784950Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/6/
ff5722,,2026-03-01T05:02:19.003578Z,,#7,http://192.168.65.40:8000/dcim/cables/7/,7,,2026-03-01T05:02:19.081553Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/7/
ff5722,,2026-03-01T05:02:19.305904Z,,#8,http://192.168.65.40:8000/dcim/cables/8/,8,,2026-03-01T05:02:19.382377Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/8/
ff5722,,2026-03-01T05:02:19.509780Z,,#9,http://192.168.65.40:8000/dcim/cables/9/,9,,2026-03-01T05:02:19.585946Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/9/
ff5722,,2026-03-01T05:02:19.724509Z,,#10,http://192.168.65.40:8000/dcim/cables/10/,10,,2026-03-01T05:02:19.816965Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/10/
ff5722,,2026-03-01T05:02:20.028116Z,,#11,http://192.168.65.40:8000/dcim/cables/11/,11,,2026-03-01T05:02:20.104397Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/11/
ff5722,,2026-03-01T05:02:20.227692Z,,#12,http://192.168.65.40:8000/dcim/cables/12/,12,,2026-03-01T05:02:20.306239Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/12/
ff5722,,2026-03-01T05:02:20.420539Z,,#13,http://192.168.65.40:8000/dcim/cables/13/,13,,2026-03-01T05:02:20.497283Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/13/
ff5722,,2026-03-01T05:02:20.638254Z,,#14,http://192.168.65.40:8000/dcim/cables/14/,14,,2026-03-01T05:02:20.716587Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/14/
ff5722,,2026-03-01T05:02:20.946374Z,,#15,http://192.168.65.40:8000/dcim/cables/15/,15,,2026-03-01T05:02:21.020472Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/15/
ff5722,,2026-03-01T05:02:21.135435Z,,#16,http://192.168.65.40:8000/dcim/cables/16/,16,,2026-03-01T05:02:21.220113Z,,,,,,cat5e,http://192.168.65.40:8000/api/dcim/cables/16/
