airflow,asset_tag,comments,created,desc_units,description,device_count,display,display_url,facility_id,form_factor,id,last_updated,location,max_weight,mounting_depth,name,outer_depth,outer_height,outer_unit,outer_width,owner,powerfeed_count,rack_type,serial,starting_unit,u_height,url,weight,weight_unit
,,,2026-03-01T05:10:31.225526Z,False,,2,IDF128,http://192.168.65.40:8000/dcim/racks/1/,,,1,2026-03-01T05:10:31.225553Z,,,,IDF128,,,,,,0,,,1,42,http://192.168.65.40:8000/api/dcim/racks/1/,,
,,,2026-03-01T05:10:31.348899Z,False,,2,IDF117,http://192.168.65.40:8000/dcim/racks/2/,,,2,2026-03-01T05:10:31.348919Z,,,,IDF117,,,,,,0,,,1,42,http://192.168.65.40:8000/api/dcim/racks/2/,,
,,,2026-03-01T05:10:31.424912Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/3/,,,3,2026-03-01T05:10:31.424933Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/3/,,
,,,2026-03-01T05:10:31.482773Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/4/,,,4,2026-03-01T05:10:31.482793Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/4/,,
,,,2026-03-01T05:10:31.543486Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/5/,,,5,2026-03-01T05:10:31.543505Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/5/,,
,,,2026-03-01T05:10:31.604683Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/6/,,,6,2026-03-01T05:10:31.604703Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/6/,,
,,,2026-03-01T05:10:31.663734Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/7/,,,7,2026-03-01T05:10:31.663754Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/7/,,
,,,2026-03-01T05:10:31.728163Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/8/,,,8,2026-03-01T05:10:31.728182Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/8/,,
,,,2026-03-01T05:10:31.786051Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/9/,,,9,2026-03-01T05:10:31.786070Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/9/,,
,,,2026-03-01T05:10:31.847779Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/10/,,,10,2026-03-01T05:10:31.847798Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/10/,,
,,,2026-03-01T05:10:31.912239Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/11/,,,11,2026-03-01T05:10:31.912259Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/11/,,
,,,2026-03-01T05:10:31.970391Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/12/,,,12,2026-03-01T05:10:31.970420Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/12/,,
,,,2026-03-01T05:10:32.038820Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/13/,,,13,2026-03-01T05:10:32.038840Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/13/,,
,,,2026-03-01T05:10:32.101049Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/14/,,,14,2026-03-01T05:10:32.101068Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/14/,,
,,,2026-03-01T05:10:32.159823Z,False,,4,Comms closet,http://192.168.65.40:8000/dcim/racks/15/,,,15,2026-03-01T05:10:32.159847Z,,,,Comms closet,,,,,,0,,,1,12,http://192.168.65.40:8000/api/dcim/racks/15/,,
,,,2026-03-01T05:10:32.219683Z,False,,2,IDF118,http://192.168.65.40:8000/dcim/racks/16/,,,16,2026-03-01T05:10:32.219704Z,,,,IDF118,,,,,,0,,,1,42,http://192.168.65.40:8000/api/dcim/racks/16/,,
,,,2026-03-01T05:10:33.848578Z,False,,3,Plant 1,http://192.168.65.40:8000/dcim/racks/41/,,,41,2026-03-01T05:10:33.848598Z,,,,Plant 1,,,,,,0,,,1,42,http://192.168.65.40:8000/api/dcim/racks/41/,,
,,,2026-03-01T05:10:33.909559Z,False,,0,Plant 2,http://192.168.65.40:8000/dcim/racks/42/,,,42,2026-03-01T05:10:33.909579Z,,,,Plant 2,,,,,,0,,,1,42,http://192.168.65.40:8000/api/dcim/racks/42/,,
,,,2026-03-01T05:10:32.308795Z,False,,0,R101,http://192.168.65.40:8000/dcim/racks/17/,,,17,2026-03-01T05:10:32.308815Z,,,,R101,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/17/,,
,,,2026-03-01T05:10:32.378067Z,False,,0,R102,http://192.168.65.40:8000/dcim/racks/18/,,,18,2026-03-01T05:10:32.378087Z,,,,R102,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/18/,,
,,,2026-03-01T05:10:32.446056Z,False,,0,R103,http://192.168.65.40:8000/dcim/racks/19/,,,19,2026-03-01T05:10:32.446077Z,,,,R103,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/19/,,
,,,2026-03-01T05:10:32.507431Z,False,,0,R104,http://192.168.65.40:8000/dcim/racks/20/,,,20,2026-03-01T05:10:32.507452Z,,,,R104,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/20/,,
,,,2026-03-01T05:10:32.575890Z,False,,2,R105,http://192.168.65.40:8000/dcim/racks/21/,,,21,2026-03-01T05:10:32.575911Z,,,,R105,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/21/,,
,,,2026-03-01T05:10:32.644118Z,False,,2,R106,http://192.168.65.40:8000/dcim/racks/22/,,,22,2026-03-01T05:10:32.644138Z,,,,R106,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/22/,,
,,,2026-03-01T05:10:32.701001Z,False,,2,R107,http://192.168.65.40:8000/dcim/racks/23/,,,23,2026-03-01T05:10:32.701020Z,,,,R107,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/23/,,
,,,2026-03-01T05:10:32.762323Z,False,,2,R108,http://192.168.65.40:8000/dcim/racks/24/,,,24,2026-03-01T05:10:32.762342Z,,,,R108,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/24/,,
,,,2026-03-01T05:10:32.823973Z,False,,1,R201,http://192.168.65.40:8000/dcim/racks/25/,,,25,2026-03-01T05:10:32.823992Z,,,,R201,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/25/,,
,,,2026-03-01T05:10:32.886384Z,False,,0,R202,http://192.168.65.40:8000/dcim/racks/26/,,,26,2026-03-01T05:10:32.886419Z,,,,R202,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/26/,,
,,,2026-03-01T05:10:32.955305Z,False,,0,R203,http://192.168.65.40:8000/dcim/racks/27/,,,27,2026-03-01T05:10:32.955325Z,,,,R203,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/27/,,
,,,2026-03-01T05:10:33.022895Z,False,,0,R204,http://192.168.65.40:8000/dcim/racks/28/,,,28,2026-03-01T05:10:33.022915Z,,,,R204,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/28/,,
,,,2026-03-01T05:10:33.095300Z,False,,0,R205,http://192.168.65.40:8000/dcim/racks/29/,,,29,2026-03-01T05:10:33.095320Z,,,,R205,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/29/,,
,,,2026-03-01T05:10:33.164166Z,False,,0,R206,http://192.168.65.40:8000/dcim/racks/30/,,,30,2026-03-01T05:10:33.164188Z,,,,R206,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/30/,,
,,,2026-03-01T05:10:33.223792Z,False,,0,R207,http://192.168.65.40:8000/dcim/racks/31/,,,31,2026-03-01T05:10:33.223812Z,,,,R207,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/31/,,
,,,2026-03-01T05:10:33.289124Z,False,,0,R208,http://192.168.65.40:8000/dcim/racks/32/,,,32,2026-03-01T05:10:33.289154Z,,,,R208,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/32/,,
,,,2026-03-01T05:10:33.369705Z,False,,0,R301,http://192.168.65.40:8000/dcim/racks/33/,,,33,2026-03-01T05:10:33.369723Z,,,,R301,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/33/,,
,,,2026-03-01T05:10:33.430258Z,False,,0,R302,http://192.168.65.40:8000/dcim/racks/34/,,,34,2026-03-01T05:10:33.430278Z,,,,R302,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/34/,,
,,,2026-03-01T05:10:33.497050Z,False,,0,R303,http://192.168.65.40:8000/dcim/racks/35/,,,35,2026-03-01T05:10:33.497069Z,,,,R303,,,,,,0,,,1,48,http://192.168.65.40:8000/api/dcim/racks/35/,,
