address,assigned_object,assigned_object_id,assigned_object_type,comments,created,custom_fields,description,display,display_url,dns_name,family,id,last_updated,nat_inside,nat_outside,owner,role,status,tags,tenant,url,vrf
172.16.0.1/24,,,,,2026-03-01T04:26:58.133824Z,{},,172.16.0.1/24,http://192.168.65.40:8000/ipam/ip-addresses/1/,,"{""label"": ""IPv4"", ""value"": 4}",1,2026-03-01T04:26:58.133842Z,,[],,,"{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/ipam/ip-addresses/1/,"{""description"": """", ""display"": ""Alpha (65000:100)"", ""id"": 1, ""name"": ""Alpha"", ""rd"": ""65000:100"", ""url"": ""http://192.168.65.40:8000/api/ipam/vrfs/1/""}"
172.16.0.2/24,,,,,2026-03-01T04:26:58.189271Z,{},,172.16.0.2/24,http://192.168.65.40:8000/ipam/ip-addresses/2/,,"{""label"": ""IPv4"", ""value"": 4}",2,2026-03-01T04:26:58.189289Z,,[],,,"{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/ipam/ip-addresses/2/,"{""description"": """", ""display"": ""Alpha (65000:100)"", ""id"": 1, ""name"": ""Alpha"", ""rd"": ""65000:100"", ""url"": ""http://192.168.65.40:8000/api/ipam/vrfs/1/""}"
172.16.0.3/24,,,,,2026-03-01T04:26:58.242509Z,{},,172.16.0.3/24,http://192.168.65.40:8000/ipam/ip-addresses/3/,,"{""label"": ""IPv4"", ""value"": 4}",3,2026-03-01T04:26:58.242526Z,,[],,,"{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/ipam/ip-addresses/3/,"{""description"": """", ""display"": ""Alpha (65000:100)"", ""id"": 1, ""name"": ""Alpha"", ""rd"": ""65000:100"", ""url"": ""http://192.168.65.40:8000/api/ipam/vrfs/1/""}"
172.16.0.4/24,,,,,2026-03-01T04:26:58.298342Z,{},,172.16.0.4/24,http://192.168.65.40:8000/ipam/ip-addresses/4/,,"{""label"": ""IPv4"", ""value"": 4}",4,2026-03-01T04:26:58.298360Z,,[],,,"{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/ipam/ip-addresses/4/,"{""description"": """", ""display"": ""Alpha (65000:100)"", ""id"": 1, ""name"": ""Alpha"", ""rd"": ""65000:100"", ""url"": ""http://192.168.65.40:8000/api/ipam/vrfs/1/""}"
172.16.0.5/24,,,,,2026-03-01T04:26:58.351434Z,{},,172.16.0.5/24,http://192.168.65.40:8000/ipam/ip-addresses/5/,,"{""label"": ""IPv4"", ""value"": 4}",5,2026-03-01T04:26:58.351451Z,,[],,,"{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/ipam/ip-addresses/5/,"{""description"": """", ""display"": ""Alpha (65000:100)"", ""id"": 1, ""name"": ""Alpha"", ""rd"": ""65000:100"", ""url"": ""http://192.168.65.40:8000/api/ipam/vrfs/1/""}"
172.16.0.6/24,,,,,2026-03-01T04:26:58.404513Z,{},,172.16.0.6/24,http://192.168.65.40:8000/ipam/ip-addresses/6/,,"{""label"": ""IPv4"", ""value"": 4}",6,2026-03-01T04:26:58.404531Z,,[],,,"{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/ipam/ip-addresses/6/,"{""description"": """", ""display"": ""Alpha (65000:100)"", ""id"": 1, ""name"": ""Alpha"", ""rd"": ""65000:100"", ""url"": ""http://192.168.65.40:8000/api/ipam/vrfs/1/""}"
172.16.0.7/24,,,,,2026-03-01T04:26:58.453410Z,{},,172.16.0.7/24,http://192.168.65.40:8000/ipam/ip-addresses/7/,,"{""label"": ""IPv4"", ""value"": 4}",7,2026-03-01T04:26:58.453428Z,,[],,,"{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/ipam/ip-addresses/7/,"{""description"": """", ""display"": ""Alpha (65000:100)"", ""id"": 1, ""name"": ""Alpha"", ""rd"": ""65000:100"", ""url"": ""http://192.168.65.40:8000/api/ipam/vrfs/1/""}"
172.16.0.8/24,,,,,2026-03-01T04:26:58.506142Z,{},,172.16.0.8/24,http://192.168.65.40:8000/ipam/ip-addresses/8/,,"{""label"": ""IPv4"", ""value"": 4}",8,2026-03-01T04:26:58.506159Z,,[],,,"{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/ipam/ip-addresses/8/,"{""description"": """", ""display"": ""Alpha (65000:100)"", ""id"": 1, ""name"": ""Alpha"", ""rd"": ""65000:100"", ""url"": ""http://192.168.65.40:8000/api/ipam/vrfs/1/""}"
172.16.0.9/24,,,,,2026-03-01T04:26:58.557167Z,{},,172.16.0.9/24,http://192.168.65.40:8000/ipam/ip-addresses/9/,,"{""label"": ""IPv4"", ""value"": 4}",9,2026-03-01T04:26:58.557184Z,,[],,,"{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/ipam/ip-addresses/9/,"{""description"": """", ""display"": ""Alpha (65000:100)"", ""id"": 1, ""name"": ""Alpha"", ""rd"": ""65000:100"", ""url"": ""http://192.168.65.40:8000/api/ipam/vrfs/1/""}"
172.16.0.10/24,,,,,2026-03-01T04:26:58.611846Z,{},,172.16.0.10/24,http://192.168.65.40:8000/ipam/ip-addresses/10/,,"{""label"": ""IPv4"", ""value"": 4}",10,2026-03-01T04:26:58.611863Z,,[],,,"{""label"": ""Active"", ""value"": ""active""}",[],,http://192.168.65.40:8000/api/ipam/ip-addresses/10/,"{""description"": """", ""display"": ""Alpha (65000:100)"", ""id"": 1, ""name"": ""Alpha"", ""rd"": ""65000:100"", ""url"": ""http://192.168.65.40:8000/api/ipam/vrfs/1/""}"
